iter	Passed	Remaining
414	3039	4284
415	3040	4268
416	3051	4265
417	3052	4250
418	3053	4234
419	3055	4218
420	3056	4203
421	3057	4188
422	3059	4172
423	3060	4157
424	3061	4141
425	3062	4125
426	3063	4110
427	3064	4095
428	3074	4091
429	3075	4076
430	3076	4061
431	3077	4046
432	3078	4031
433	3079	4016
434	3081	4001
435	3082	3987
436	3083	3972
437	3084	3957
438	3085	3942
439	3086	3928
440	3108	3940
441	3109	3925
442	3110	3911
443	3121	3908
444	3122	3894
445	3123	3880
446	3124	3865
447	3125	3851
448	3126	3837
449	3127	3822
450	3128	3808
451	3129	3794
452	3133	3784
453	3134	3770
454	3139	3760
455	3141	3748
456	3143	3734
457	3144	3720
458	3145	3707
459	3146	3693
460	3147	3680
461	3148	3666
462	3149	3652
463	3150	3639
464	3151	3626
465	3152	3612
466	3165	3612
467	3167	3601
468	3168	3587
469	3169	3574
470	3170	3561
471	3171	3547
472	3172	3535
473	3174	3522
474	3175	3509
475	3176	3496
476	3188	3495
477	3189	3483
478	3191	3470
479	3192	3458
480	3193	3445
481	3195	3433
482	3196	3421
483	3197	3408
484	3198	3396
485	3199	3384
486	3210	3382
487	3212	3369
488	3213	3358
489	3214	3346
490	3216	3334
491	3217	3322
492	3218	3309
493	3219	3297
494	3220	3285
495	3221	3273
496	3235	3274
497	3237	3263
498	3238	3251
499	3239	3239
500	3240	3227
501	3241	3215
502	3242	3203
503	3243	3192
504	3244	3180
505	3245	3168
506	3256	3166
507	3258	3155
508	3259	3144
509	3261	3133
510	3262	3121
511	3263	3110
512	3264	3098
513	3265	3087
514	3266	3075
515	3267	3065
516	3278	3062
517	3279	3051
518	3280	3039
519	3280	3028
520	3281	3017
521	3282	3005
522	3283	2994
523	3284	2983
524	3285	2972
525	3286	2961
526	3287	2950
527	3288	2939
528	3289	2928
529	3290	2917
530	3291	2906
531	3301	2903
532	3306	2896
533	3307	2886
534	3308	2875
535	3309	2864
536	3310	2853
537	3310	2843
538	3311	2832
539	3312	2822
540	3314	2811
541	3315	2801
542	3320	2794
543	3321	2784
544	3322	2773
545	3323	2763
546	3334	2761
547	3336	2751
548	3338	2742
549	3339	2732
550	3340	2721
551	3341	2711
552	3342	2701
553	3343	2691
554	3344	2681
555	3345	2671
556	3346	2661
557	3357	2659
558	3358	2649
559	3359	2639
560	3360	2629
561	3361	2620
562	3362	2610
563	3363	2600
564	3365	2590
565	3366	2581
566	3367	2571
567	3368	2561
568	3369	2551
569	3370	2542
570	3374	2535
571	3377	2527
572	3386	2523
573	3387	2514
574	3389	2505
575	3390	2495
576	3391	2486
577	3392	2476
578	3393	2467
579	3403	2464
580	3404	2455
581	3405	2445
582	3406	2436
583	3407	2427
584	3409	2418
585	3410	2409
586	3411	2400
587	3412	2391
588	3413	2381
589	3414	2372
590	3415	2363
591	3416	2354
592	3427	2352
593	3428	2343
594	3429	2334
595	3430	2325
596	3431	2316
597	3434	2308
598	3435	2299
599	3436	2290
600	3437	2281
601	3438	2273
602	3439	2264
603	3440	2255
604	3447	2250
605	3449	2242
606	3450	2234
607	3451	2225
608	3452	2216
609	3453	2208
610	3454	2199
611	3455	2190
612	3456	2182
613	3457	2173
614	3458	2165
615	3459	2156
616	3460	2148
617	3464	2141
618	3465	2132
619	3466	2124
620	3467	2116
621	3468	2107
622	3469	2099
623	3470	2091
624	3471	2082
625	3472	2074
626	3473	2066
627	3474	2058
628	3475	2050
629	3476	2041
630	3477	2033
631	3491	2033
632	3493	2025
633	3494	2017
634	3495	2009
635	3496	2001
636	3497	1993
637	3498	1985
638	3499	1977
639	3500	1969
640	3519	1971
641	3521	1963
642	3522	1955
643	3523	1948
644	3529	1942
645	3531	1935
646	3533	1928
647	3535	1920
648	3536	1912
649	3537	1904
650	3538	1896
651	3539	1889
652	3540	1881
653	3541	1873
654	3542	1866
655	3543	1858
656	3544	1850
657	3545	1842
658	3553	1838
659	3555	1831
660	3556	1824
661	3557	1816
662	3558	1808
663	3559	1801
664	3560	1793
665	3561	1786
666	3562	1778
667	3563	1770
668	3564	1763
669	3565	1755
670	3566	1748
671	3567	1741
672	3568	1733
673	3580	1732
674	3582	1724
675	3583	1717
676	3585	1710
677	3586	1703
678	3588	1696
679	3589	1688
680	3590	1681
681	3591	1674
682	3600	1670
683	3601	1663
684	3602	1656
685	3603	1649
686	3604	1642
687	3606	1635
688	3607	1628
689	3608	1621
690	3609	1613
691	3610	1606
692	3611	1599
693	3612	1592
694	3613	1585
695	3614	1578
696	3622	1574
697	3624	1567
698	3624	1560
699	3625	1553
700	3627	1547
701	3628	1540
702	3629	1533
703	3630	1526
704	3632	1519
705	3633	1512
706	3634	1506
707	3635	1499
708	3636	1492
709	3637	1485
710	3646	1482
711	3647	1475
712	3649	1468
713	3650	1462
714	3651	1455
715	3652	1448
716	3653	1442
717	3655	1435
718	3656	1428
719	3657	1422
720	3658	1415
721	3659	1408
722	3660	1402
723	3661	1395
724	3662	1389
725	3664	1382
726	3665	1376
727	3666	1369
728	3667	1363
729	3668	1356
730	3669	1350
731	3671	1344
732	3672	1337
733	3673	1331
734	3685	1328
735	3686	1322
736	3687	1315
737	3688	1309
738	3689	1303
739	3690	1296
740	3691	1290
741	3692	1284
742	3694	1277
743	3697	1272
744	3707	1268
745	3708	1262
746	3709	1256
747	3710	1249
748	3711	1243
749	3711	1237
750	3712	1231
751	3713	1224
752	3714	1218
753	3715	1212
754	3716	1206
755	3717	1199
756	3718	1193
757	3719	1187
758	3720	1181
759	3732	1178
760	3733	1172
761	3735	1166
762	3736	1160
763	3737	1154
764	3738	1148
765	3738	1142
766	3739	1136
767	3740	1130
768	3741	1123
769	3742	1117
770	3743	1111
771	3751	1107
772	3753	1102
773	3754	1096
774	3755	1090
775	3756	1084
776	3757	1078
777	3758	1072
778	3759	1066
779	3760	1060
